address,annotate,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,journal,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,year,entrytype,tags,intrahash,citation,merged
 , ,Thomas Rauber and Gudula Rünger,PDP, ,conf/pdp/2001, , , , , , , , , , , ,IEEE Computer Society, , ,A Hierarchical Computation Model for Distributed Shared-Memory Machines., , ,2001,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,ba23d4a005c1a2625b575033fdcddde0, , 
"New York, NY, USA", ,Tom Chiu and DongPing Fang and John Chen and Yao Wang and Christopher Jeris,KDD '01: Proceedings of the seventh ACM SIGKDD international conference on Knowledge discovery and data mining, , , , , , , , , , , , , ,ACM, , ,A robust and scalable clustering algorithm for mixed type attributes in large database environment, , ,2001,inproceedings,http://www.bibsonomy.org/api/tags/ClusteringClusteringhttp://www.bibsonomy.org/api/tags/SeminarSeminarhttp://www.bibsonomy.org/api/tags/importedimportedhttp://www.bibsonomy.org/api/tags/20092009,35fbe28aab450c4b6bc8ab24aa8766eb, , 
 , ,Kiruthika Ramanathan and Luping Shi and Jianming Li and Kian Guan Lim and Ming Hui Li and Zhi Ping Ang and Tow Chong Chong,ICONIP (1), ,conf/iconip/2009-1, ,Mario Köppen and Nikola K. Kasabov and George G. Coghill, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,A Neural Network Model for a Hierarchical Spatio-temporal Memory., ,5506,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,115ca503ffbb521e85f947d967ac2a4d, , 
 , ,Roseli S. Wedemann and Luís Alfredo Vidal de Carvalho and Raul Donangelo,SBRN, ,conf/sbrn/2006, ,Anne M. P. Canuto and Marcílio Carlos Pereira de Souto and Antônio C. Roque da Silva, , , , , , , , , ,IEEE Computer Society, , ,A Hierarchical Memory Model for Conscious and Unconscious Mental Processes., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,de9d9bd3b3cefb83887e59f3cbe53190, , 
 , ,J. Rouet, , , , , , , ,Interacting with Computers, ,June, ,3, , , , , ,What was I looking for? The influence of task specificity and prior knowledge on students' search strategies in hypertext, ,15,2003,article,"http://www.bibsonomy.org/api/tags/hypertext,hypertext,http://www.bibsonomy.org/api/tags/task-specificitytask-specificityhttp://www.bibsonomy.org/api/tags/search-strategy,search-strategy,",c4427cd4cfb75d05578b36606bd63ae9, , 
 , ,Periklis Andritsos and Panayiotis Tsaparas and Ren\'{e}e J. Miller and Kenneth C. Sevcik, , , , , , , ,Advances in Database Technology - EDBT 2004, , , , , , , , , ,LIMBO: Scalable Clustering of Categorical Data, , ,2004,incollection,http://www.bibsonomy.org/api/tags/discoverydiscoveryhttp://www.bibsonomy.org/api/tags/clusteringclusteringhttp://www.bibsonomy.org/api/tags/schemaschemahttp://www.bibsonomy.org/api/tags/entityguidesentityguides,c0bcecd11ce041977537a0a71d908e70, , 
"Z\""urich, Switzerland", ,Oliver Kasten, , , , , , , , , , ,Diss. ETH No. 17397, , , , ,"{ETH Z\""urich}", ,A State-Based Programming Model for Wireless Sensor Networks, , ,2007,phdthesis,http://www.bibsonomy.org/api/tags/importedimported,ed165e8d950a7dfdb246498118aa1699, , 
 , ,Alok Aggarwal and Bowen Alpern and Ashok K. Chandra and Marc Snir,STOC, ,conf/stoc/STOC19, , , , , , , , , , , ,ACM, , ,A Model for Hierarchical Memory, , ,1987,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,6923f3e45b88ab11558bf364182a0e50, , 
 , ,Yanbing Li and Wayne Wolf,DAC, , , , , , , , , , , , , , , , ,A Task-Level Hierarchical Memory Model for System Synthesis of Multiprocessors., , ,1997,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,b71c18023f47d70f1a9df68ca5585e8a, , 
 , ,Charu C. Aggarwal, , , , , , ,VLDB, , , , , , , , , , ,On k-Anonymity and the Curse of Dimensionality, , ,2005,proceedings,http://www.bibsonomy.org/api/tags/importedimported,3e5cf88cec3a0719958671bc7a53f5ed, , 
 , ,Gagan Aggarwal and Mayank Bawa and Prasanna Ganesan and Hector Garcia-Molina and Krishnaram Kenthapadi and Rajeev Motwani and Utkarsh Srivastava and Dilys Thomas and Ying Xu 0002,CIDR, , , , , , , , , , , , , , , , ,Two Can Keep A Secret: A Distributed Architecture for Secure Database Services., , ,2005,inproceedings,http://www.bibsonomy.org/api/tags/databasesdatabaseshttp://www.bibsonomy.org/api/tags/securitysecurityhttp://www.bibsonomy.org/api/tags/outsourcingoutsourcing,dde94636835ecc827dbb74013a95a439, , 
 , ,Praveen Aggarwal and Rajiv Vaidyanathan and Alladi Venkatesh, , , , , , , ,Journal of Retailing, , , ,2, , , , , ,Using Lexical Semantic Analysis to Derive Online Brand Positions: An Application to Retail Marketing Research, ,85,2009,article,http://www.bibsonomy.org/api/tags/netnographynetnographyhttp://www.bibsonomy.org/api/tags/User-generatedcontentUser-generatedcontent,6dda86cc1cfa788923bb3beeddd502a1, , 
 , ,Vikas Aggarwal and Rafael Garcia and Greg Stitt and Alan D. George and Herman Lam,SC-HPRCTA, ,conf/sc/2009hprcta, ,Volodymyr V. Kindratenko and Tarek A. El-Ghazawi, , , , , , , , , ,ACM, , ,"SCF: a device- and language-independent task coordination framework for reconfigurable, heterogeneous systems.", , ,2009,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,b8306a5c7472dfc285d9a620c00a650e, , 
 , ,Faouzia Wadjinny and Dalila Chiadmi,NTMS, ,conf/ntms/2008, ,Akshai Aggarwal and Mohamad Badra and Fabio Massacci, , , , , , , , , ,IEEE, , ,Query Optimization in a Mediator for Digital Libraries., , ,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,d7bc84007149ba785e43359b96075b46, , 
 , ,Kechar Bouabdellah and Larbi Sekhri,NTMS, ,conf/ntms/2008, ,Akshai Aggarwal and Mohamad Badra and Fabio Massacci, , , , , , , , , ,IEEE, , ,Formal Modelling and Validation of a Novel Energy Efficient Cross-Layer MAC Protocol in Wireless Multi Hop Sensor Networks Using Time Petri Nets., , ,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,f61c070dbfbdad640c77db22ba135a3d, , 
 , ,Moussa Ouedraogo and Djamel Khadraoui and Benoît De Rémont and Eric Dubois and Haralambos Mouratidis,NTMS, ,conf/ntms/2008, ,Akshai Aggarwal and Mohamad Badra and Fabio Massacci, , , , , , , , , ,IEEE, , ,Deployment of a Security Assurance Monitoring Framework for Telecommunication Service Infrastructures on a VoIP Service., , ,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,edcf742d41a252851029e58cfab621ed, , 
 , ,Mohamad El Masri and Slim Abdellatif and Guy Juanole,NTMS, ,conf/ntms/2008, ,Akshai Aggarwal and Mohamad Badra and Fabio Massacci, , , , , , , , , ,IEEE, , ,Proposal of a Novel Bandwidth Management Framework for IEEE 802.16 Based on Aggregation., , ,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,bed56355f8147ef3ab3beec32dc183df, , 
 , ,Nazir A. Malik and Muhammad Younus Javed and Umar Mahmud,NTMS, ,conf/ntms/2008, ,Akshai Aggarwal and Mohamad Badra and Fabio Massacci, , , , , , , , , ,IEEE, , ,Threat Modeling in Pervasive Computing Paradigm., , ,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,e5930843142718446414355e2f1324f1, , 
 , ,P. M. Papazoglou and Dimitrios A. Karras and Rallis C. Papademetriou,NTMS, ,conf/ntms/2008, ,Akshai Aggarwal and Mohamad Badra and Fabio Massacci, , , , , , , , , ,IEEE, , ,On Improved Event Scheduling Mechanisms for Wireless Communications Simulation Modelling., , ,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,cd2d0b572ff340febda0d0d6be9f0557, , 
